時間戳記,你想留下的名字！（也可以寫匿名沒有問題）,想要在網站上放的頭貼！當然想跳過也沒問題！（請幫忙把檔案格式命名為圖中的格式－你的名字+頭貼喔~例如Popapo_頭貼）,想對吐司說的話！,想給吐司的東西！(請幫忙把檔案格式命名為圖中的格式－  你的名字+物品名稱喔~例如Popapo_生日快樂歌錄音檔，匿名者寫成匿名_XXXXX即可)
2025/6/4 下午 4:10:12,宥寶包,,"吐司尼好我是寶包～ 祝妳生日快樂🎂 用心的mod們幫妳準備的小驚喜，身為足音mod的好澎友也一定要支持下這舉國歡慶的活動🥳🥳🥳 
祝福妳在未來的每個日子裡都能開開心心
有越來越多人委託吐司畫圖！
圖奇追隨破2000！
Happy birthday toasttttti😚😚😚",
2025/6/4 下午 4:12:53,空仔_ (kamadokanata),,生日快樂٩(◦`꒳´◦)۶,
2025/6/4 下午 8:26:56,守,,生日快樂 恭喜平安的度過了一年 希望吐司往後也能像今天一樣開心 祝身體健康 平安順遂!,
2025/6/8 下午 6:20:54,Luke,https://drive.google.com/open?id=1Qnap7VXblI_ospaGRyuZkysUCr1CeHH4,"吐司生日快樂！直播一週年快樂！
很高興可以認識到集各種優點於一身的妳，
不論是學業、繪圖、唱歌、聲音、個性等，
樣樣都讓人十分喜歡。
祝福妳持續往自己的目標邁進，會持續支持妳的！",
2025/6/11 下午 5:30:13,Karsauba,https://drive.google.com/open?id=1vq5xb4J-1Y2RgnSVRUQ3hh4P11qEG79E,"吐司安安 我是因為頭貼活動才看到妳的 一開始嗎上就被妳的可愛畫風給戳到了
因此就這樣變成粉絲了www
雖然關注妳的時間不長 但我會一輩子跟隨妳的www",
2025/6/11 下午 6:12:01,小魚,https://drive.google.com/open?id=1nuJctYdpnz1L9HPJ_5ySXuA68kV-r23a,"可愛的吐司瓦熊生日快樂🎉🎉
希望你一直都開開心心的❤",
2025/6/11 下午 6:35:10,馬來膜膜,https://drive.google.com/open?id=1YMU82WY8jANgub0zoBHecP5sDlvnWrXy,"生日快樂 隨然我不常去看都是有時間 不過妳知道嗎 一周年快樂生日快樂











妳好可愛啊!!!!!!!",
2025/6/11 下午 9:52:00,卡兔,,雖然認識時間很短，但每次看到吐司都很有精神真是太好了ouob,
2025/6/13 下午 6:24:58,j96,,小吐司，恭喜你又長大一歲了，好好享受今天這個幸福的大日子,
2025/6/19 下午 6:18:58,烏龜龜,https://drive.google.com/open?id=1sBuJZnJo5br_WZVr8rpyovTs-7aFfiOo,吐司生日快樂~能認識吐司神是我的榮幸(吐司耶比),https://drive.google.com/open?id=1COO5PVWbAGrSgdGAO2zwvujCXCmk9CNT
2025/6/28 下午 8:06:51,蝦蝦,https://drive.google.com/open?id=13jgLPAF86feTLJLQ4fdqNSyQ6sw_ng11,祝吐司生日快樂、一周年快樂~送上一張委託的小賀圖,https://drive.google.com/open?id=17dlnIf2QfLORNES-hwhTP1QjSLVg6D4W
2025/7/1 下午 5:22:47,花椰菜,https://drive.google.com/open?id=1FnNNiapNU0oG1ddvUfRABsrF3mCbULnM,希望吐司未來也被世界上各式各樣美好的事物包圍，擁有屬於自己的充實吐司生 ! ,https://drive.google.com/open?id=1azU3Ea7IJa5fqEt9ZeIoNYBfl2DuaV2R
2025/7/1 下午 7:55:50,特多,https://drive.google.com/open?id=1T0oRmnQFpeFf7rwRBJxtIqhmWMeV77lQ,吐司生日快樂~也祝你一周年快樂  耶比!!! 每次看到吐司的圖都覺得有被療育的感覺真ㄉ敲可愛ㄉ辣  也祝福吐司未來也能快樂的畫畫~,"https://drive.google.com/open?id=1Fl-8DmfXF9S3WCwTmmfAwCSa7ixZPdno, https://drive.google.com/open?id=1m1gvCI8UvPgonrvUsou6FbAffaEgj3cN"
2025/7/4 下午 3:30:49,嗚嗚嗚,,"恭喜吐司生日快樂!!!!!!!
一周年的實況也大大大快樂!!!!!!!!!
看吐司台也默默地要一年了(??? 好快
吐司的畫圖、作業、唱歌、遊戲台都能帶給我們好多歡樂
雖然沒辦法每次都跟 只能小小偷看一下就去忙
但遇到吐司還是好開心 (嗚嗚嗚
祝吐司生日快樂又長大了一歲
變成熟成吐司(x
實況帶給我們好多快樂也恭喜一周年
期望接下來會有二周年三周年~
但也希望吐司不要有壓力 一切按照自己適合的步調來
之前的認親也準備的好用心 
真的是很認真的可愛瓦熊",
2025/7/4 下午 4:12:32,予晴,https://drive.google.com/open?id=1uK8wLyoVAoEPDQaEpMuyDLNd_6-qRg8b,"瓦熊瓦熊!生日快熱!!
好喜歡可可愛愛又超會畫畫ㄉ瓦熊
之後也要開開心心ㄘ胖胖 ㄒㄒ",
2025/7/6 下午 5:38:21,亞曼JJ,https://drive.google.com/open?id=1NO06Itiu_RqMWo_wwYbn2GocZ6R3nSIe,生日快樂我們最可愛的瓦熊! 祝福我們吐司在這條實況以及畫圖的道路上一路順利!,https://drive.google.com/open?id=1hLBkvYdeXCQq5FkHR_xR7XGJzxx5yftf
2025/7/7 上午 12:21:50,朶菟菈,https://drive.google.com/open?id=1_8flvkkIubOGGS0bfuzpXDy3dNvlfvN7,"吐司真的是很好很好的寶包~🌟
謝謝吐司給我機會當你的朋朋(੭ु´ ᐜ `)੭ु⁾⁾❤️
今天這麼棒棒的日子裡，祝你生日快樂~*ଘ(੭*ˊᵕˋ)੭* ੈ✩‧₊˚
希望我們未來的友誼會一直一直持續下去
愛你愛你的朶朶","https://drive.google.com/open?id=1wfHlAIKcnx5qpIx3pg6eF3PA_TjtnSSq, https://drive.google.com/open?id=1Of6o__U0B1HTaR8h7TlP7TXrzdrENsnP, https://drive.google.com/open?id=1_I_0HoQ73wqOswm4GrEXgiO6W_q8LSek, https://drive.google.com/open?id=1eJxPPjCkjD0VcdPpb1LTRrL6St6N0P1K"
2025/7/7 上午 4:46:41,無名,https://drive.google.com/open?id=1RCwcIzpgYkJBjLAVFwIb_CMc_rMkDsQ0,生日快樂,https://drive.google.com/open?id=1tmFe_Y-cy47duIVJ_N3dxhNHEeDEe8ox
2025/7/7 上午 11:00:35,夏洛特,,在FB和可可愛愛的吐司戳友真的很開心！吐司每一張圖真的都很好看！真的好喜歡😭😭😭吐司生日大大大大快樂！！！,
